mes,nome_filial,cancelamentos
2025-01,Move 4 You Alameda,86
2025-02,Move 4 You Alameda,116
2025-03,Move 4 You Alameda,112
2025-04,Move 4 You Alameda,104
2025-05,Move 4 You Alameda,101
2025-06,Move 4 You Alameda,97
2025-07,Move 4 You Alameda,70
2025-08,Move 4 You Alameda,98
2025-09,Move 4 You Alameda,94
2025-10,Move 4 You Alameda,92
2025-11,Move 4 You Alameda,88
2025-12,Move 4 You Alameda,94
2026-01,Move 4 You Alameda,99
2026-02,Move 4 You Alameda,99
2026-03,Move 4 You Alameda,91
2026-04,Move 4 You Alameda,93
2026-05,Move 4 You Alameda,6
