mes,nome_plano,cancelamentos
2025-05,Move4You - Premium Recorrente com Fidelidade 4 meses ,1
2025-08,Move4You - Premium Recorrente com Fidelidade 4 meses ,1
2025-09,Move4You - Premium Recorrente com Fidelidade 4 meses ,4
2025-10,Move4You - Premium Recorrente com Fidelidade 4 meses ,3
2025-11,Move4You - Premium Recorrente com Fidelidade 4 meses ,7
2025-12,Move4You - Premium Recorrente com Fidelidade 4 meses ,7
2026-01,Move4You - Premium Recorrente com Fidelidade 4 meses ,10
2026-02,Move4You - Premium Recorrente com Fidelidade 4 meses ,6
2026-03,Move4You - Premium Recorrente com Fidelidade 4 meses ,9
2026-03,CONTRATO PERSONAL TRIMESTRAL,1
2026-04,Move4You - Premium Recorrente com Fidelidade 4 meses ,4
