motivo,quantidade,percentual
Contrato cancelado automaticamente por inadimplência,306,20.7
Problemas financeiros,296,20.0
Outros (especificar),290,19.6
Mudou-se,268,18.1
Falta de tempo/Não frequenta,131,8.9
Problemas de saúde,54,3.7
Vai treinar em outro lugar,41,2.8
Outros (especificar) - Outros,17,1.2
Insatisfação,7,0.5
Outros (especificar) - Pessoal,7,0.5
Outros (especificar) - Gestação.,2,0.1
Outros (especificar) - Motivos pessoais,2,0.1
Outros (especificar) - https://trello.com/c/mMlhWBWN,2,0.1
Outros (especificar) - motivos pessoais ,2,0.1
Outros (especificar) - Cirúrgicos,1,0.1
Outros (especificar) - Aderiu ao total pass,1,0.1
"Outros (especificar) - Academia suja, quente e lotada, muitos aparelhos em manutenção por muito tempo.",1,0.1
Outros (especificar) - Academia mais próxima de sua residência.,1,0.1
Outros (especificar) - ACADEMIA SE ENCONTRA MUITO CHEIA NA HORAS QUE VOU,1,0.1
Outros (especificar) - Gravidez,1,0.1
Outros (especificar) - Final de gestação ,1,0.1
Outros (especificar) - LOCALIZAÇÃO.,1,0.1
Outros (especificar) - Horários conflitantes com outras atividades,1,0.1
"Outros (especificar) - LONGE DE CASA, IRÁ PARA A MOVE SAO PEDRO",1,0.1
Outros (especificar) - MOTIVOS PESSOAIS ,1,0.1
Outros (especificar) - MUDANÇA PARA PRATICAR NATAÇÃO,1,0.1
Outros (especificar) - Irar para studio personalizado,1,0.1
Outros (especificar) - Motivos de saúde ,1,0.1
Outros (especificar) - Mudança de cidade,1,0.1
Outros (especificar) - Falecimento da nossa querida e eterna Aluna.,1,0.1
Outros (especificar) - Dificuldade de horário e Logística.,1,0.1
Outros (especificar) - Falecimento. ,1,0.1
Outros (especificar) - Fibra,1,0.1
Outros (especificar) - Acidente de moto.,1,0.1
Outros (especificar) - AGENDA,1,0.1
Outros (especificar) - Particular,1,0.1
"Outros (especificar) - Pago mas não frequento a academia há 6 meses por desestímulo com nova disposição de equipamentos – especialmente aeróbicos (a exemplo, ausência de janelas para bike indoor e escada rolante sob o teto). Monotonia pelo isolamento destes e de esteiras em relação ao nível superior.",1,0.1
Outros (especificar) - Optou pelo well hub,1,0.1
Outros (especificar) - OUTROS,1,0.1
Outros (especificar) - Natação,1,0.1
Outros (especificar) - NÃO ACEITA PLANO CORPORATIVO.,1,0.1
"Outros (especificar) - Preciso de um horário estendido a noite, esse horário vigente não me atende.",1,0.1
Outros (especificar) - Poucos equipamentos e lotação,1,0.1
Outros (especificar) - VOLTAR PARA NATAÇÃO,1,0.1
Outros (especificar) - Virou estagiário,1,0.1
Outros (especificar) - Vou mudar para academia uma academia que funciona melhor com a dinâmica do meu dia.,1,0.1
Outros (especificar) - Proposta de trabalho em outra cidade.,1,0.1
Outros (especificar) - Repouso pós cirúrgico.,1,0.1
Outros (especificar) - Sofreu um acidente e está impossibilitada de realizar atividade física.,1,0.1
"Outros (especificar) - Termino do contrato, sem interesse de renova-lo.",1,0.1
Outros (especificar) - VIAGEM.,1,0.1
Outros (especificar) - https://trello.com/c/234eCqug,1,0.1
Outros (especificar) - gravidez,1,0.1
Outros (especificar) - gravides ,1,0.1
Outros (especificar) - fibra,1,0.1
"Outros (especificar) - falta de aulas coletivas. Haviam prometido aulas de funcional quando eu assinei meu plano
porem, ate o presente momento temos apenas dança, yoga e spinning.",1,0.1
Outros (especificar) - impossibilidade de horário,1,0.1
Outros (especificar) - https://trello.com/c/yxL5QkZV/,1,0.1
Outros (especificar) - https://trello.com/c/DzYtPt6j,1,0.1
Outros (especificar) - pessoal ,1,0.1
Outros (especificar) - personal,1,0.1
Outros (especificar) - motivos pessoais,1,0.1
Outros (especificar) - viagem,1,0.1
Outros (especificar) - well hub,1,0.1
Outros (especificar) - viagem longa ,1,0.1
Outros (especificar) - viagem ,1,0.1
Trocar contrato,1,0.1
